city,city_label,listing_count,median_unit_price_yuan_m2,mean_unit_price_yuan_m2,median_total_price_10k_yuan,median_area_m2
江门,江门,72,11774.5,11685.541666666666,125.0,106.5
繁昌,繁昌,57,11742.0,12217.491228070176,135.0,116.0
望城,望城,78,11734.0,12832.551282051281,136.0,113.0
福清,福清,98,11718.5,12008.010204081633,144.0,138.0
清徐,清徐,100,11611.0,11802.17,115.0,96.0
阳曲,阳曲,74,11577.5,11584.108108108108,116.0,99.41
新密,新密,126,11566.0,11159.65873015873,105.0,104.5
三沙,三沙,72,11524.0,13729.013888888889,87.0,73.0
进贤,进贤,56,11498.5,12594.964285714286,110.0,102.0
阜宁,阜宁,60,11490.5,11517.9,121.0,103.45
巴彦,巴彦,61,11405.0,12517.442622950819,109.0,92.0
中牟,中牟,69,11389.0,11791.289855072464,111.0,100.0
长丰,长丰,72,11322.0,12896.0,105.5,92.0
太原,太原,55,11296.0,11543.727272727272,114.0,100.0
南昌,南昌,88,11246.0,12290.318181818182,107.0,89.8
日照,日照,100,11151.5,11197.16,120.0,118.0
乌鲁木齐,乌鲁木齐,61,11042.0,10301.72131147541,107.0,105.0
章丘,章丘,97,11034.0,13982.350515463917,132.0,120.0
烟台,烟台,100,10958.5,11401.16,106.0,98.0
南宁,南宁,99,10930.0,12215.68686868687,110.0,99.0
栖霞,栖霞,66,10881.0,11285.530303030304,99.5,98.0
法库,法库,86,10761.5,12028.860465116279,95.4,94.925
康平,康平,60,10726.5,11530.65,95.0,88.0
简阳,简阳,110,10624.0,14445.363636363636,115.0,99.16499999999999
长沙,Changsha,100,10571.0,11012.07,105.0,115.0
丽江,丽江,118,10561.0,12550.940677966102,76.0,76.5
横县,横县,71,10538.0,12520.112676056338,124.0,117.0
海门,海门,119,10444.0,10406.495798319327,120.0,120.0
宾阳,宾阳,84,10421.0,11713.25,115.0,108.5
德清,德清,77,10396.0,11970.415584415585,115.0,108.0
沈阳,沈阳,100,10341.5,11533.2,99.5,92.66
新郑,新郑,104,10221.0,10997.673076923076,99.0,96.0
巢湖,巢湖,106,10166.0,11041.5,97.5,92.64
惠州,惠州,96,10138.5,10827.197916666666,93.5,90.0
拉萨,拉萨,120,10134.0,9941.85,94.0,107.33
莆田,莆田,118,10103.5,11113.474576271186,120.5,120.38499999999999
